Tweeter ,retweet count,liked count,language,Emotion,polarity,Postive/Neg,Sensitive ,text,,
@evieepeevie,170,0,en,unknown,positive,1,FALSE,RT @squidslippers: if any flat earthers want to throw me off the edge of the earth i will gladly let you do so,,
@GGKodyKash,832,0,en,unknown,negative,0,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@puremykie,354,0,en,unknown,positive,1,FALSE,RT @AshleyPurdy: Dear flat Earthers: If the Earth was really flat Cats would have pushed everything off it by now. ??????? #TrueStory,,
@Grizbomb,832,0,en,unknown,negative,0,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@ThatMidBeHittin,832,0,en,unknown,negative,-1,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@jerryg125,0,0,en,unknown,negative,-2,FALSE,DERP: American Flat Earthers Tell CBS News That Photos Of The Planet Are 'Utterly False' https:..t.co.TFj4bcmndN,,
@spacemamb0,832,0,en,unknown,negative,-3,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@NOMORELAZ,832,0,en,unknown,negative,-4,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@amberelalem,170,0,en,unknown,positive,-3,FALSE,RT @squidslippers: if any flat earthers want to throw me off the edge of the earth i will gladly let you do so,,
@ynemkf,832,0,en,unknown,negative,-4,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@RiverXaine,170,0,en,unknown,positive,-3,FALSE,RT @squidslippers: if any flat earthers want to throw me off the edge of the earth i will gladly let you do so,,
@ry_huff,832,0,en,unknown,negative,-4,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@giannacabada,170,0,en,unknown,positive,-3,FALSE,RT @squidslippers: if any flat earthers want to throw me off the edge of the earth i will gladly let you do so,,
@sheamanti,170,0,en,unknown,positive,-2,FALSE,RT @squidslippers: if any flat earthers want to throw me off the edge of the earth i will gladly let you do so,,
@grandrustic,832,0,en,unknown,negative,-3,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@EarthsFlat,0,0,en,joy,positive,-2,FALSE,I told the wife her #boobs look like the earth she�s thinking big and round I haven�t told her I�m a #flatearther ??? #FlatEarth #joke,,
@lwtiero,15,0,en,unknown,positive,-1,FALSE,RT @aIIyourpoison: @FrankIero @KingsRoadMerch clearly says flatearther vegans under there,,
@BotSiduri,2,0,und,joy,positive,0,FALSE,RT @FegglePez: https:..t.co.88c9igJpUj #globexit #FlatEarth #FlatPower #StillEarth�#NoCurvature�#EarthisFlat #flatearther #FEOffensive #Res�,,
@FEARMEPLZ09,15,0,en,unknown,positive,1,FALSE,RT @aIIyourpoison: @FrankIero @KingsRoadMerch clearly says flatearther vegans under there,,
@WeenieLinguini,2,0,und,joy,positive,2,FALSE,RT @FegglePez: https:..t.co.88c9igJpUj #globexit #FlatEarth #FlatPower #StillEarth�#NoCurvature�#EarthisFlat #flatearther #FEOffensive #Res�,,
@FegglePez,2,1,und,unknown,positive,3,FALSE,https:..t.co.88c9igJpUj #globexit #FlatEarth #FlatPower #StillEarth�#NoCurvature�#EarthisFlat #flatearther #FEOffensive #ResearchFlatEarth https:..t.co.YSodkDRqk6,,
@aticsemi,15,0,en,unknown,positive,4,FALSE,RT @aIIyourpoison: @FrankIero @KingsRoadMerch clearly says flatearther vegans under there,,
@ZozyBell,15,0,en,unknown,positive,5,FALSE,RT @aIIyourpoison: @FrankIero @KingsRoadMerch clearly says flatearther vegans under there,,
@trm_29003,15,0,en,unknown,positive,6,FALSE,RT @aIIyourpoison: @FrankIero @KingsRoadMerch clearly says flatearther vegans under there,,
@JSommermann,0,0,en,unknown,positive,7,FALSE,@rocksound @FrankIero Frank Iero and the Flatearther Vegans,,
@allergictosun3,15,0,en,unknown,positive,8,FALSE,RT @aIIyourpoison: @FrankIero @KingsRoadMerch clearly says flatearther vegans under there,,
@chapter_ten,15,0,en,unknown,positive,9,FALSE,RT @aIIyourpoison: @FrankIero @KingsRoadMerch clearly says flatearther vegans under there,,
@AbbieLay1,15,0,en,unknown,positive,10,FALSE,RT @aIIyourpoison: @FrankIero @KingsRoadMerch clearly says flatearther vegans under there,,
@prisilav17,15,0,en,unknown,positive,11,FALSE,RT @aIIyourpoison: @FrankIero @KingsRoadMerch clearly says flatearther vegans under there,,
@Adriana18380421,15,0,en,unknown,positive,12,FALSE,RT @aIIyourpoison: @FrankIero @KingsRoadMerch clearly says flatearther vegans under there,,
@haadbaart,0,1,nl,unknown,negative,11,FALSE,@LavieJanRoos Dit is toch niet uit te leggen? Wat een flater!,,
@sredlums,0,0,nl,unknown,neutral,11,FALSE,Want (mooie) initiatieven zoals deze hebben verdomd weinig zin als bestaande bomen en struiken meedogenloos en onnodig weggevaagd worden. Echt waar wat een enorme flater dit @gemeentetilburg https:..t.co.UrCzPJYlsn,,
@antropotetisk,2,0,no,sadness,positive,12,FALSE,RT @emiliosanhueza: VGs �Berxit�-kampanje er interessant og kanskje symptomatisk: Kampanjens �sannhet� om VGs produkt har lite � gj�re med�,,
@PlMland,2,0,no,sadness,positive,13,FALSE,RT @emiliosanhueza: VGs �Berxit�-kampanje er interessant og kanskje symptomatisk: Kampanjens �sannhet� om VGs produkt har lite � gj�re med�,,
@D_Flater,324,0,en,unknown,negative,12,FALSE,RT @journo_dale: Maybe because reporters keep saying �It�s complicated� and leaving it at that rather than actually reporting on what a ca�,,
@jhaland,0,0,no,sadness,neutral,12,FALSE,@KnutJohannesen @kari_kristensen Si det varsling � si. Men noen akt�rer skal v�re dyrere enn andre. De har mange flater og mye som skal sikres. Men tror ikke dette er en spesielt god l�sning da de snakker om lekenhet osv. Men men�,,
@balaghat_samt,0,0,ar,unknown,positive,13,FALSE,@Flater_25 ????? ??????,,
@Flater_25,0,0,ar,unknown,positive,14,FALSE,@balaghat_samt ????? ???? ?,,
@balaghat_samt,0,0,ar,unknown,positive,15,FALSE,@Flater_25 ?? ?????? ????,,
@Flater_25,0,0,ar,unknown,positive,16,FALSE,@balaghat_samt ?????? ???? ????? ????? ???? ????? ??? ?????? ?????? ?????,,
@D_Flater,119,0,en,unknown,positive,17,FALSE,RT @acoyne: Sure but would you have negotiated one? https:..t.co.L3VVaWYiGu,,
@phresh_tommyz,0,0,en,unknown,positive,18,FALSE,@chemicalbrodar I don't know which is flater.... the joke you're dropping or the breast your talking about.. https://t.co/AsGSLN082e,,
@cindywilberts,0,1,nl,unknown,negative,17,FALSE,Prachtige winst van Groen maar wat een flater Wouter... https://t.co/E8MMWKCGvh,,
@volksbladnuus,2,0,cy,unknown,positive,18,FALSE,RT @Netwerk24Sport: KYK: Burns s� jammer n� Bath-flater. https://t.co/xPIbbxa2qF,,
@Beeld_Nuus,2,0,cy,unknown,positive,19,FALSE,RT @Netwerk24Sport: KYK: Burns s� jammer n� Bath-flater. https://t.co/xPIbbxa2qF,,
@uncoolcaio,1610,0,en,unknown,negative,18,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@TheBlackCyde,1610,0,en,unknown,negative,17,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@jameskendra3,847,0,en,unknown,positive,18,FALSE,RT @squidslippers: if any flat earthers want to throw me off the edge of the earth i will gladly let you do so,,
@_make_me_up_,277,0,en,unknown,neutral,18,FALSE,RT @ThotsandPrayers: So alla y�all going on about compulsory veganism is classist�oh everyone�s body is different�and animal protein is jus�,,
@ZSchneeweiss,0,0,en,unknown,neutral,18,FALSE,"The futility of debating flat-earthers and ""very fine people."" @ritholtz's Masters in Business https://t.co/Mdy7OLWjGO via @bopinion #tictocnews https://t.co/IQof5bDWDJ",,
@Lunaaa1017,1610,0,en,unknown,negative,17,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@BloodRedLiqueur,74,0,en,unknown,positive,18,FALSE,RT @r4tmic: to all my flat earthers https://t.co/sqyOQZmN8T,,
@AuthorJayYaj,1610,0,en,unknown,negative,17,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@zak_morrow,1610,0,en,unknown,negative,16,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@alinealienx,1610,0,en,unknown,negative,15,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@shannonnmullins,847,0,en,unknown,positive,16,FALSE,RT @squidslippers: if any flat earthers want to throw me off the edge of the earth i will gladly let you do so,,
@ThatDevastator,1610,0,en,unknown,negative,15,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@robbep1,1610,0,en,unknown,negative,14,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@LaniBradley1234,847,0,en,unknown,positive,15,FALSE,RT @squidslippers: if any flat earthers want to throw me off the edge of the earth i will gladly let you do so,,
@hamsterfighter1,1610,0,en,unknown,negative,14,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@uncoolcaio,1610,0,en,unknown,negative,13,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@TheBlackCyde,1610,0,en,unknown,negative,12,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@jameskendra3,847,0,en,unknown,positive,13,FALSE,RT @squidslippers: if any flat earthers want to throw me off the edge of the earth i will gladly let you do so,,
@_make_me_up_,277,0,en,unknown,neutral,13,FALSE,RT @ThotsandPrayers: So alla y�all going on about compulsory veganism is classist�oh everyone�s body is different�and animal protein is jus�,,
@ZSchneeweiss,0,0,en,unknown,neutral,13,FALSE,"The futility of debating flat-earthers and ""very fine people."" @ritholtz's Masters in Business https://t.co/Mdy7OLWjGO via @bopinion #tictocnews https://t.co/IQof5bDWDJ",,
@Lunaaa1017,1610,0,en,unknown,negative,12,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@BloodRedLiqueur,74,0,en,unknown,positive,13,FALSE,RT @r4tmic: to all my flat earthers https://t.co/sqyOQZmN8T,,
@AuthorJayYaj,1610,0,en,unknown,negative,12,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@zak_morrow,1610,0,en,unknown,negative,11,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@alinealienx,1610,0,en,unknown,negative,10,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@shannonnmullins,847,0,en,unknown,positive,11,FALSE,RT @squidslippers: if any flat earthers want to throw me off the edge of the earth i will gladly let you do so,,
@ThatDevastator,1610,0,en,unknown,negative,10,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@robbep1,1610,0,en,unknown,negative,9,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@LaniBradley1234,847,0,en,unknown,positive,10,FALSE,RT @squidslippers: if any flat earthers want to throw me off the edge of the earth i will gladly let you do so,,
@hamsterfighter1,1610,0,en,unknown,negative,9,FALSE,"RT @trilllizard666: imagine getting jumped by flat earthers and one of them say ""yo throw this nigga over the edge""",,
@TLDHLive,7,0,en,joy,positive,10,FALSE,RT @90sBabyShow: ??NEW PODCAST EPISODE??Is The Earth Flat? Ft. @_kourtneyll #90sBabyShow?https://t.co/ditLDgPjgF? 90s Baby Live Sho�,,
@GrahameWhitF,0,0,en,unknown,negative,9,FALSE,@TorstenBell Who is getting this level of pay rise? In my part of the world and my sector pay is flat falling in real terms or being cut. What where and who is dragging the average up?,,
@MaliaAsfour,1,0,en,unknown,positive,10,FALSE,"RT @adventuretweets: ""You remind people that the world isn�t flat."" - @DavidQuammen #atws2018 #tuscanyadventuretimes @NatGeoTravel",,
@curlycarli83,0,0,en,surprise,positive,11,FALSE,My Beautiful Crazy Wonderful World!! Not just a messy flat! Promise! ???????xxx #ExcitingAdventuresAhead #DisabledDaydreamer #SometimesDreamsDoComeTrue #CripplePunk #EDSLife� https://t.co/e0ND51gnFk,,
@au_murayamaeki,0,0,en,unknown,positive,12,FALSE,au starts of Flat-Late international calling services.calls from Japan to 23countries and regions world wide willbe FREE!,,
@flyguyrichards,7,0,en,joy,positive,13,FALSE,RT @90sBabyShow: ??NEW PODCAST EPISODE??Is The Earth Flat? Ft. @_kourtneyll #90sBabyShow?https://t.co/ditLDgPjgF? 90s Baby Live Sho�,,
@GorgichJ,0,0,en,unknown,positive,14,FALSE,--The retreat will go back. The world is not fucking flat! | [This is just a TEST],,
@SolDhunga,2,0,en,joy,positive,15,FALSE,"RT @dipak_gyawali: During idle hours of Dussain a great read about a much hyped ""world is flat"" NYT columnist who turns out to be just a s�",,
@hannahwatson21,0,0,en,unknown,positive,16,FALSE,@Coconutdog01 @BigMcGinty @SmthDavd @LyleShelton There�s a difference between accepting other�s views and accepting conspiracy theories. So we should acknowledge people who think the world as being flat as intelligent individuals?,,
@jo_zieh,1,0,en,unknown,positive,17,FALSE,RT @jo_zieh: Wealthland Green Estate introduces a new world of Luxury Homes at Affordable Prices.Location: Oribanwa Lekki Penisula Lago�,,
@thelifeofQU,4,0,en,joy,positive,18,FALSE,RT @temiAlchemy: ??NEW PODCAST EPISODE??Is The Earth Flat? Ft. @_kourtneyll #90sBabyShow?https://t.co/OLk5xLWLIc? 90s Baby Live Sho�,,
@adventuretweets,1,2,en,joy,negative,17,FALSE,"You remind people that the world isn�t flat."" - @DavidQuammen #atws2018 #tuscanyadventuretimes @NatGeoTravel
@thelifeofQU,7,0,en,false,RT @90sBabyShow: ??NEW PODCAST EPISODE??Is The Earth Flat? Ft. @_kourtneyll #90sBabyShow?https://t.co/ditLDgPjgF? 90s Baby Live Sho�
@PheCSU,1,0,en,false,RT @DonPier27990569: Actually Liz the numbers are off. They can't be polled. Theblue wave's flat. Easily provedby the way. As 2 scammed t�
@GuyExcited,1,0,en,false,RT @PhotoAVStudio: IV PERUIsla Incahuasi is a hilly and rocky outcrop of land and former island in Bolivia situated in the middle of Salar�
@TerreurNeutre,0,0,fr,false,J'ai rarement vu autant de raccourcis condens�s. C'est aberrant de dire des choses pareilles pire de les r�p�ter sans filtre critique. Comment rendre toute th�orie equivoque... kennedy=religion=flatearther #path�tique et  #m�prisant envers le r�el les lecteurs. @MonnatL https://t.co/xkzHVFcdpm
@Mezghitane01,0,5,fr,false,Mon coll�gue complotiste et #flatearther va me manquer ? je fais comment moi maintenant pour commencer mes journ�es sans discours sur les francs ma�on et du nouvel ordre mondial???
@mont__co,0,0,en,false,chan are you a flatearther?  #StrayKidsComeback
@WallaceWestland,0,1,en,false,@ClimatismBlog @JaggerMickOZ @Conserv00301750 @lyndoes @txtrue @munungus @AtomsksSanakan @JWSpry @RJinBaltimore @sueytonius @caerbannog666 @maralago_ @kmpClimate @PolAnimalAus @FraserMacLeod5 @Tokyo_Tom @priscian @msroberts0619 @PoeBrianL @RoyPentland @flyonthewall182 @craigthomler @SylviaD32911201 @BradSchrag @Tangomitteckel @realiwasframed @brandonrgates @JamesDe34061167 @Schmoop0521 @try2golf @Pandeism @tjtjgeol @prof_SJGreene @JpiersM @Michael_D_Crow @swcrisis @Canberroo @JPolov @deano7577 @HughAbercrombi3 @ClimateCatastr1 @StormSignalSA @willynerdal1 @curryja @redforged42 @wildweatherdan @jamieswilson @GillesnFio @Calimer0c0mplex @Gladfly1 Oh crap. It's the end of the world. That's the cliff the flatearther's fall off.
@ABurdiez,0,0,es,false,Esta foto la tom� el astronauta Alex desde la ISS. Totalmente plana #irulanducci #oliveriba�ez #miguelnu�ez #FlatEarth #TierraPlana #tierraplanarepublicadominicana #flatearther #pedroduque #nasa #NASASocial #iss #hastalomasalto #DonaldTrump #donatumelenachallenge https://t.co/g5uGXTWjKW
@FlatEarthFC,0,1,und,false,#FlatEarth#FlatEarther#FlatEarthFightClub https://t.co/QPHKcCNnrq
@FlatEarthFight,0,0,und,false,#FlatEarth#FlatEarther#FlatEarthFightClub https://t.co/pXLMcqSvP5
@EvadSmon,0,0,en,false,@DerekNero23 @buffalobills @Chiefs Whaley liked his progressive FlatEarther takes
@bingesnigh,0,0,en,false,@Superfried_rice @awyelyah Flatearther?
@WadeAndersonPT,0,2,en,false,@kimpaquette @WPipperger @cyber_wolf35 @RobertAuers @lorakolodny you need to give up @kimpaquette  it is like trying to argue with a flatearther that the world is round  ?
@airone_isontino,0,0,it,false,Tra l'altro la teoria della terra piatta era sostenuta dal nostro salvatore Ges� Cristo. #flatearther #insiders
@busterknutt1,0,0,en,false,@DigitalKeith @GoRawYall You ask a flatearther why they believe they tell you to research I did against what I know it led me to the fact the earth is a sphere. Those dumb cunts don't leave their echo chamber they don't even know the difference between a matter of fact and a matter of opinion.
@PandaNadou,0,0,fr,false,@samira_fandi @samY699M3 @MadeInBrazza @Arto_n Depuis quand on attend l'avis de toute la plan�te pour �nonc� des faits. Qu'on se mette d'accord sur un truc. Ex: la Terre tourne. Flatearther dirait ""non moi je ne sens pas que �a tourne"". Est-ce qu'on va dire que la terre ne tourne pas parce que lui dit qu'elle ne tourne pas ??
@MariaHanel90,0,1,en,false,Gibt's eigentlich #Hom�opathieBef�rworterEndgegner #Globukalypse T-Shirts?Oder sowas wie:- Anti-Flatearther- I love my brain cells to much to just let them die only to be able to believe in stupid things- I'd take all Globuli at once because I like to live dangerously
@FlatEarthFreddy,4,0,en,false,RT @WeAreWakinUp: @DesWalsh12 Your nothing but a #Troll ! You arent a real #FlatEarther ! You are only part of the FlatEarthSociety disinfo�
@shhwagah,0,0,en,false,Listening to this podcast and imagining I'm falsely accused of murder and having a flat-Earther sitting in the jury pool of my trial lmao
@marieseav25,46,0,en,false,RT @SaywhatNathan: Wore this shirt today.  A few people misunderstood that it's an anti-colonial statement and thought I was a flat earther�
@Cassie_A_Lynch,46,0,en,false,RT @SaywhatNathan: Wore this shirt today.  A few people misunderstood that it's an anti-colonial statement and thought I was a flat earther�
@DickCoughlan,0,0,en,false,When Jeremy Clarkson hosted Top Gear people complained about his ignorance when it came to climate science...Now Top Gear will be presented by Freddie Flintoff who is also A FLAT EARTHER!!!! https://t.co/gVOPDuJ3hm
@AntiTesla20,0,0,en,false,@T__E__S__L__A Ok so will it be. By the way Tesla was no Flat-earther.
@spookydabkookie,0,0,en,false,@yoogits flat earther
@qwertyrynmrk,0,0,tl,false,Flat earther po ako.  Hmm. https://t.co/KGhamWcjr5
@ophieoNo,46,0,en,false,RT @SaywhatNathan: Wore this shirt today.  A few people misunderstood that it's an anti-colonial statement and thought I was a flat earther�
@TOTigerLilly,46,0,en,false,RT @SaywhatNathan: Wore this shirt today.  A few people misunderstood that it's an anti-colonial statement and thought I was a flat earther�
@BlueNova03,0,0,en,false,@elonmusk the next time you launch something to space can it be a flat earther?
@Faatiima__,46,0,en,false,RT @SaywhatNathan: Wore this shirt today.  A few people misunderstood that it's an anti-colonial statement and thought I was a flat earther�
@Thesismis,46,0,en,false,RT @SaywhatNathan: Wore this shirt today.  A few people misunderstood that it's an anti-colonial statement and thought I was a flat earther�
@_ChloeVero,46,0,en,false,RT @SaywhatNathan: Wore this shirt today.  A few people misunderstood that it's an anti-colonial statement and thought I was a flat earther�
@liammiller87,46,0,en,false,RT @SaywhatNathan: Wore this shirt today.  A few people misunderstood that it's an anti-colonial statement and thought I was a flat earther�
@AllPerspicacity,46,0,en,false,RT @SaywhatNathan: Wore this shirt today.  A few people misunderstood that it's an anti-colonial statement and thought I was a flat earther�
@AiNaTow,0,0,en,false,@JBadass408 @GerbusJames @TeemoClash @PeterValdo @zahadoom @keigh_see @badibulgator @TheCarp86835734 @def732dan @globalist13903 @BostonsBuddha @AuntieScience @hplarc12345 @forthemasses @W2g49Harry @dwolfman54 @aaronsburrell @hugh_bothwell @doctorbuttons @cbridger954 @ReadECAM @bulkevans @Watsdecraicjmac @_zero_gravitas @FlatSlugbrains @kmilf21 @rokro111 @GodKingNobody @DonaldKronos @ThinkyTexan @ethan__tyson @Tinman_73 @RunningHippo @mirelexx @KeighseeToo @TheWrongQuest @AnctNightmare @AvagadrosKind1 @BamaDan78 @GillGarmesh @1BigPotato @Valuable2017 @Vortexpuppy1 @rokro11 @GodKingHeaveny @AllBelongHere @JimTheKingTiger @tarawasjesus @whatithink1234 I dont think even fictional star wars has flat planets... cause the notion is just dumb.... a planet would have to spin pretty fast to be somehow flattened... but it would take immense gravity to hold anything to it...Or do we live on a pulsar/neutron star?
@CruisingCrypto,0,1,en,false,QUESTION'S for flat earth people 1 whats on the bottom ?2 where is the edge ?3 if you flew a plane in one direction  how would you end up in the same spot        as you started ?4 are we the only flat planet ?5 sorry about you !
@OmioneEvents,0,0,en,false,An Amazing Fact: Members of the International Flat Earth Society begun in 1956 say they believe our planet is as flat as a dinner plate�despite... https://t.co/qVTQgEvCDS
@skLynne1,0,0,en,false,@NaamaYehuda @NBCNews @NBCOUT Race is unchangeable mor*n!! What planet did you fall off? A flat one for sure! All of your ideas are so far from the truth it's really quite funny. The only hope for mankind is when humans get past the age of 50 and they finally start to have valid ideas and thoughts.
@TWEnclosure,0,1,en,false,?? WINX vs ENABLE ???????Who really is the quickest lady on the planet?! ?Have a read of our opinion on the most asked question in flat racing HERE ??https://t.co/wCc0CRzQog
@uglykidgang,0,2,en,false,The more I watch videos about flat Earther's explaining why they think the Earth is flat the more I wish Thanos was an actual person who wiped out half the life on this planet.
@RSP212,0,1,en,false,@shkeengolf Holy shit man this is me.  Ive been trying to get my wrist flat with a strong grip only to snap hook it off the planet.
@damnitmadeline,0,15,en,false,One of my coworkers is a flat earther who doesn't believe in interracial marriage & also keeps convincing herself she has bed bugs so honor her today by doing whatever you want w whoever you want on our beautiful round planet while she shampoos her carpets for the 19th time
@koriespeerz,0,1,und,false,#sunday #funday #flat #earth #proof #picture #shows #the #moon #is #really #fake #truth #exposed #illuminati #caught #on #photography #space #planet #stars #beyonce #crane https://t.co/vhjsBNesXV
@KeshiaJ09,0,0,en,false,There�s a conspiracy theory as to why the world is flat when there are a TON of photos and people who have died going up there to see the ROUND PLANET many people have been studying for a long time ?
@DCTFTW,3,0,en,false,RT @DavidNutzuki: #CBC #CTV #TVOClimate change science is 100% certain the planet isn't flat but are only 99% sure climate change ""could""�
@heathrodgirs,3,0,en,false,RT @DavidNutzuki: #CBC #CTV #TVOClimate change science is 100% certain the planet isn't flat but are only 99% sure climate change ""could""�
@canadian3per,3,0,en,false,RT @DavidNutzuki: #CBC #CTV #TVOClimate change science is 100% certain the planet isn't flat but are only 99% sure climate change ""could""�
@Ali_Lion786,0,0,en,false,#DeclineAPartyIn4WordsPlanet Earth is flat.???? https://t.co/xOSM9FnJmB
@GuardianAtheist,0,3,en,false,@GodlessEngineer I motion for flat earthers to be placed on a rocketship and sent to space so they can see the earth is a spherical planet. Then mysteriously disappear if they /still/ think it'sa lie or some kind of trick of the windows.... ?
@TBesserwisser,0,0,en,false,@BrassWisdom @RealDCEric @EmeryThrash @BlancoIndian @ruthmari_85 @SkepticNikki @MexMarc What Christians believe or not are not really evidence right? Some people believe the earth is flat but them doing so does not make it so yes?
@vincentrhodestv,0,0,en,false,I added a video to a @YouTube playlist https://t.co/mgTpZS3gif Doctor Says Earth Is Flat on CBS News
@vincentrhodestv,0,0,en,false,I liked a @YouTube video https://t.co/mgTpZS3gif Doctor Says Earth Is Flat on CBS News
@blay_johnny,0,0,en,false,@EsotericExposal is the earth flat?
@_D_L_Z,0,1,en,false,ERG explaining why the Earth is flat. #PoliticsLive
@_EvRo_,15,0,en,false,RT @AngelaLMorabito: At some point this is just sad. Sad the way some people think the earth is flat or that chocolate milk comes from brow�
@_MaryJewAnna_,1456,0,en,false,RT @JoeVargas: Proof that the earth is flat https://t.co/jVoO9bU3UI
@RonanB,131,0,en,false,RT @mikegalsworthy: @Jacob_Rees_Mogg And the earth is flat...Where did the Brexit fantasy cult come from?...
@Arthurish,0,0,en,false,@Rainmaker1973 Some people may believe that the Earth is just a flat disc in the bottom of a bucket. That's why all rockets have to go straight up. Start of a new cult? ???
@Ceryyse,0,0,en,false,@FlatEarthOrg @Asyraaf__ So is the earth a flat plane of are we all trapped in a snow globe thing? Make your mind up because next time you'll come out with ""oh the earth isn't real nothing is real the only thing that's real are unicorns",,
@JagM_85,131,0,en,unknown,positive,18,FALSE,RT @mikegalsworthy: @Jacob_Rees_Mogg And the earth is flat...Where did the Brexit fantasy cult come from?...,,
